,website,url,headline,entities
64,NBC,https://www.nbcnews.com/health/coronavirus,The Zoom shiva: Jewish funerals and mourning in the age of COVID,"[('Zoom', 'PERSON'), ('Jewish', 'NORP')]"
65,NBC,https://www.nbcnews.com/health/coronavirus,"For students in rural Puerto Rico, remote learning amid coronavirus is a tough challenge","[('Puerto Rico', 'GPE')]"
66,NBC,https://www.nbcnews.com/health/coronavirus,"As restaurants stay closed, chefs still cooking — for health care workers",[]
67,NBC,https://www.nbcnews.com/health/coronavirus,"WHO warns there's no evidence of coronavirus immunity as global death toll reaches 200,000","[('200,000', 'CARDINAL')]"
68,NBC,https://www.nbcnews.com/health/coronavirus,MSNBC Special Report: Testing and the Road to Reopening,[]
69,NBC,https://www.nbcnews.com/health/coronavirus,Want a mask contract? A White House connection helps,"[('White House', 'ORG')]"
70,NBC,https://www.nbcnews.com/health/coronavirus,"At a NY nursing home forced to take COVID-19 patients, 24 residents have died","[('NY', 'GPE'), ('24', 'CARDINAL')]"
71,NBC,https://www.nbcnews.com/health/coronavirus,"Affairs, hoarders and hope: Read anonymous confessions in the time of the coronavirus",[]
72,NBC,https://www.nbcnews.com/health/coronavirus,NBC News special report: 'Coronavirus Pandemic',"[('NBC News', 'ORG')]"
73,NBC,https://www.nbcnews.com/health/coronavirus,Coronavirus: What you need to know,[]
74,NBC,https://www.nbcnews.com/health/coronavirus,'Into The Red Zone': An NBC News NOW documentary ,"[('NBC News', 'ORG')]"
75,NBC,https://www.nbcnews.com/health/coronavirus,Portrait of a neighborhood under lockdown,"[('Portrait', 'PERSON')]"
76,NBC,https://www.nbcnews.com/health/coronavirus,Photos capture empty cities across the globe,[]
77,NBC,https://www.nbcnews.com/health/coronavirus,New Yorkers are giving nightly ovations to health workers. These are their portraits,"[('New Yorkers', 'NORP')]"
78,NBC,https://www.nbcnews.com/health/coronavirus,"Exonerated man freed from prison, now in hotel quarantine: 'I could watch Netflix!'","[('Netflix', 'PERSON')]"
79,NBC,https://www.nbcnews.com/health/coronavirus,America needs universal testing. Here's how we'll get there.,"[('America', 'GPE')]"
80,NBC,https://www.nbcnews.com/health/coronavirus,Drinking bleach will not cure coronavirus. Here's what it could do instead.,[]
81,NBC,https://www.nbcnews.com/health/coronavirus,"Touch a shadow, 'You're it!': New routines as Denmark returns to school","[('Denmark', 'GPE')]"
82,NBC,https://www.nbcnews.com/health/coronavirus,Trump's White House briefings may be scaled back,"[('Trump', 'GPE'), ('White House', 'ORG')]"
83,NBC,https://www.nbcnews.com/health/coronavirus,California heat wave draws large crowds to beaches despite stay-at-home order,"[('California', 'GPE')]"
84,NBC,https://www.nbcnews.com/health/coronavirus,White House considering scaling back Trump's daily coronavirus briefings in coming weeks,"[('White House', 'ORG'), (""Trump's"", 'ORG'), ('daily', 'DATE'), ('coming weeks', 'DATE')]"
85,NBC,https://www.nbcnews.com/health/coronavirus,White House considers scaling back daily briefings,"[('White House', 'ORG'), ('daily', 'DATE')]"
86,NBC,https://www.nbcnews.com/health/coronavirus,"Dad, 32, writes heart-wrenching note to wife, kids before dying of coronavirus","[('32', 'DATE')]"
87,NBC,https://www.nbcnews.com/health/coronavirus,Fauci's absence from recent coronavirus briefings draws notice,"[('Fauci', 'ORG')]"
88,NBC,https://www.nbcnews.com/health/coronavirus,"Global coronavirus death toll surpasses 200,000, as world leaders commit to finding vaccine","[('200,000', 'CARDINAL')]"
89,CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,Latest news for health care. ,[]
90,CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,"On Tuesday, de Blasio announced plans to hire 1,000 health workers to track coronavirus cases as well as anyone who has come into contact with someone who's tested positive for Covid-19.","[('Tuesday', 'DATE'), ('de Blasio', 'ORG'), ('1,000', 'CARDINAL')]"
91,CNBC,https://www.cnbc.com/id/10000108/device/rss/rss.html,Health officials in the UK have warned that Covid-19 could be causing a new and rare inflammatory condition in children.,"[('UK', 'GPE')]"
